"","length_2d","length_3d","moving_time","stopped_time","moving_distance","stopped_distance","max_speed","ave_speed","uphillnorm","downhillnorm","maxe","mine","sport"
"5",26.7322455314,26.877131784,7366,4272,26829.1418725,47.9899114701,4.27402110025,3.64229457949,2.87517933762e-05,2.43002406677e-05,675.5,450,"rn"
"16",12.2972799202,12.3537282003,4197,90,12347.3748414,6.35335891165,4.44114678493,2.94195254738,1.86545318549e-05,1.83455204292e-05,677.7,614.2,"rn"
"25",4.61282344025,4.68104013857,1969,0,4681.04013857,0,3.81177856486,2.37736929333,3.83062569571e-05,4.0040552688e-05,246,200,"rn"
"41",20.5615141035,20.7031823792,8520,120,20676.0020841,27.1802951655,4.678667058,2.42676080799,2.85727985324e-05,3.38253300072e-05,290,36,"rn"
"52",11.8648865748,12.4345930552,4161,0,12434.5930552,0,4.09910150112,2.9883665117,6.60773278413e-05,6.6414457065e-05,297,127,"rn"
"54",9.10046787347,9.3701042247,3641,0,9370.1042247,0,2.99750228311,2.57349745254,4.34713913065e-05,4.30208650196e-05,2179.3,2132.7,"rn"
"55",5.91973086989,6.05094295823,2225,26,6045.7654165,5.17754173777,3.8458893495,2.71719794,5.15563978681e-05,5.12185446711e-05,1052,972,"rn"
"59",11.7918006447,12.2358340229,4274,0,12235.8340229,0,3.78891608348,2.8628530704,5.33786161218e-05,5.42690653684e-05,233.6,137.4,"rn"
"85",5.16383630035,5.23464231214,2011,0,5234.64231214,0,3.35398605647,2.6030046306,3.25533169959e-05,3.35215893634e-05,89,47,"rn"
"104",8.17561080869,8.39697205755,4320,3408,8344.7426981,52.2293594582,3.65437068453,1.93165340234,4.71243077753e-05,4.68674462332e-05,47.8,2.1,"rn"
"114",14.2409141036,15.7392112131,5836,306,15697.7043165,41.5068966341,4.32008374997,2.68980540036,8.92077566619e-05,8.87162151815e-05,478,147,"rn"
"117",11.1075782967,11.7001243439,3462,0,11700.1243439,0,4.96350535023,3.3795853102,6.53337730885e-05,6.69542883366e-05,163,38,"rn"
"134",4.99820934217,4.99983502448,1460,60,4985.71756412,14.1174603573,6.92423601623,3.41487504392,8.06288757455e-06,7.6627442706e-06,346,322,"rn"
